iter	Passed	Remaining
0	13	2700
1	23	2285
2	32	2133
3	41	2049
4	50	1984
5	60	1940
6	69	1906
7	78	1882
8	87	1865
9	97	1843
10	106	1832
11	115	1812
12	124	1796
13	134	1783
14	143	1769
15	152	1758
16	162	1745
17	172	1740
18	181	1729
19	191	1721
20	200	1712
21	211	1709
22	220	1698
23	229	1686
24	239	1679
25	250	1679
26	261	1677
27	272	1676
28	283	1671
29	294	1666
30	304	1659
31	313	1647
32	323	1636
33	333	1625
34	342	1615
35	353	1608
36	362	1597
37	371	1585
38	381	1575
39	391	1566
40	401	1556
41	411	1546
42	421	1538
43	431	1529
44	442	1524
45	455	1525
46	465	1515
47	476	1507
48	485	1496
49	495	1486
50	505	1475
51	514	1465
52	524	1456
53	535	1447
54	545	1437
55	554	1427
56	564	1417
57	574	1406
58	584	1396
59	593	1385
60	604	1376
61	614	1366
62	624	1357
63	634	1347
64	644	1338
65	654	1328
66	664	1318
67	673	1308
68	683	1298
69	693	1287
70	703	1277
71	712	1267
72	722	1256
73	732	1246
74	742	1236
75	751	1226
76	762	1217
77	772	1208
78	782	1198
79	792	1188
80	801	1177
81	811	1168
82	822	1159
83	834	1151
84	843	1141
85	853	1131
86	863	1121
87	873	1111
88	883	1101
89	893	1091
90	902	1081
91	912	1071
92	922	1061
93	932	1051
94	942	1042
95	952	1032
96	962	1022
97	972	1012
98	982	1002
99	992	992
100	1002	982
101	1011	972
102	1021	962
103	1031	952
104	1041	941
105	1050	931
106	1060	921
107	1070	911
108	1079	901
109	1089	891
110	1099	881
111	1109	871
112	1118	861
113	1128	851
114	1138	841
115	1148	831
116	1158	821
117	1168	811
118	1178	801
119	1187	791
120	1199	783
121	1208	772
122	1218	762
123	1228	752
124	1238	743
125	1248	732
126	1257	723
127	1267	713
128	1277	703
129	1287	693
130	1297	683
131	1306	673
132	1316	663
133	1326	653
134	1336	643
135	1346	633
136	1356	623
137	1365	613
138	1375	603
139	1385	593
140	1395	584
141	1405	574
142	1415	564
143	1425	554
144	1436	544
145	1446	535
146	1456	525
147	1465	515
148	1475	505
149	1485	495
150	1495	485
151	1505	475
152	1515	465
153	1525	455
154	1535	445
155	1545	435
156	1554	425
157	1564	415
158	1574	405
159	1584	396
160	1593	386
161	1603	376
162	1613	366
163	1623	356
164	1632	346
165	1642	336
166	1652	326
167	1662	316
168	1672	306
169	1681	296
170	1691	286
171	1701	276
172	1711	267
173	1720	257
174	1730	247
175	1740	237
176	1750	227
177	1760	217
178	1770	207
179	1779	197
180	1790	187
181	1800	178
182	1809	168
183	1819	158
184	1829	148
185	1839	138
186	1849	128
187	1859	118
188	1869	108
189	1879	98
190	1889	89
191	1899	79
192	1909	69
193	1918	59
194	1928	49
195	1939	39
196	1949	29
197	1959	19
198	1969	9
199	1979	0
