Name,Gender
fomamak,0.0
terope,1.0
naish,0.0
croos,0.0
yos,0.0
eleron,1.0
naviton,0.0
nusoton,0.0
gracey,1.0
altar,0.0
ireen,1.0
nicey,1.0
zibaham,0.0
newtch,0.0
genubik,0.0
koops,0.0
chainon,0.0
bralino,0.0
okulas,0.0
betenif,1.0
kajamak,0.0
milyn,1.0
wheard,0.0
furudah,1.0
kell,0.0
stace,0.0
vine,1.0
anack,0.0
alvira,1.0
aleroy,0.0
alurope,1.0
diph,0.0
vina,1.0
catha,1.0
minonus,0.0
suhaino,0.0
caia,1.0
tart,0.0
janita,1.0
grastab,0.0
azhat,0.0
yapich,0.0
herina,1.0
nathy,1.0
andrey,0.0
arin,1.0
thabih,0.0
rald,0.0
alheneb,0.0
castork,0.0
shex,1.0
trise,1.0
phacton,0.0
moss,0.0
delody,1.0
neshath,0.0
terops,0.0
elicey,1.0
cocowl,1.0
alhaino,0.0
leence,0.0
willah,1.0
julin,1.0
anda,1.0
race,0.0
geneen,1.0
supix,0.0
alas,0.0
natald,0.0
tyrona,1.0
tarah,1.0
nasl,1.0
gailya,1.0
son,0.0
cants,0.0
dontch,0.0
elinda,1.0
choney,1.0
frohs,0.0
sinkes,0.0
dirfak,0.0
alraino,0.0
landa,1.0
cinst,1.0
bahoton,0.0
brina,1.0
phoros,0.0
elancy,0.0
faithy,1.0
frus,0.0
rios,0.0
coreee,1.0
terons,0.0
vanney,1.0
mose,0.0
labix,0.0
furuson,0.0
rangma,1.0
neutria,1.0
flyros,0.0
bonutz,0.0
jilly,1.0
loreen,1.0
thewis,0.0
sarich,1.0
etha,1.0
komos,0.0
want,0.0
eles,0.0
murie,1.0
izarkab,0.0
juaney,0.0
chabih,0.0
cinch,0.0
dona,1.0
brank,0.0
solaron,0.0
jaye,1.0
iria,1.0
evan,0.0
sabiark,0.0
elindy,1.0
dont,0.0
berty,1.0
hallah,1.0
algeno,0.0
giebara,1.0
neypus,0.0
frunad,0.0
bethy,1.0
guls,0.0
geonkaa,1.0
winons,0.0
tracek,0.0
hadirah,1.0
gorabih,0.0
marfar,1.0
minon,0.0
tauva,1.0
camina,1.0
milyla,1.0
alchird,0.0
sarthim,0.0
syrmark,0.0
atonea,1.0
rona,1.0
gous,0.0
zinor,0.0
repart,0.0
oline,1.0
callix,0.0
cines,1.0
maryne,1.0
sce,0.0
jessa,1.0
feline,1.0
cups,0.0
hoow,0.0
